Position Bucket,Display Rank,Player,Team,Bye Week,Floor,Points,Ceiling,SD,Uncertainty,VOR,Drop Off,Tier,Age,ADP,AAV,Rank - Overall,Rank - Position,ECR,Injury Status,Points Spread,Experience
DST,24,Buccaneers,TB,10,68.3,78.4,90.6,9.39,74,-25.2,0.101,14,,149,0.1,366,24,23,,22.3,
DST,25,Colts,IND,13,67.3,78.3,86.7,7.97,23,-25.3,1.22,15,,159,0,370,25,20.1,,19.4,
DST,26,Cowboys,DAL,14,56.2,77,99.4,16.3,99,-26.6,0.625,15,,170,0.1,381,26,21.8,,43.2,
DST,27,Panthers,CAR,5,63.7,76.4,82.9,8.39,42,-27.2,1.36,16,,170,0.1,387,27,23.2,,19.2,
DST,28,Cardinals,ARI,14,58.6,75.1,90.9,13.8,29,-28.5,0.0892,16,,153,0,397,28,31.6,,32.3,
DST,29,Dolphins,MIA,6,55.7,75,89.8,15.4,90,-28.6,0.152,16,,169,0,400,29,27.5,,34.1,
DST,30,Raiders,LVR,13,59.9,74.8,85.8,12.7,48,-28.8,1.27,17,,170,0,402,30,28.9,,25.9,
DST,31,Jets,NYJ,13,55.4,73.5,91,16.1,68,-30.1,2.56,18,,170,0,411,31,30.2,,35.6,
DST,32,49ers,SF,8,46.4,71,91.1,18,97,-32.6,0,18,,146,0.75,428,32,18.4,,44.7,
DL,1,Maxx Crosby,LVR,13,72.1,85.3,107,20.4,61,18.9,9.91,1,28,99,21.9,67,1,3.38,,34.9,7
DL,2,Andrew Van Ginkel,MIN,6,60.7,75.4,99.6,22.7,81,9,2.27,1,31,,11,89,2,12.7,,38.9,7
DL,3,Andrew Van Ginkel,MIN,6,60.7,75.4,99.6,22.7,87,9,2.27,1,31,,11,89,2,40.4,,38.9,7
DL,4,Myles Garrett,LAR,11,60.8,73.1,87.9,14.4,20,6.72,1.27,1,30,,,97,3,1.15,Q,27.1,9
DL,5,Brian Burns,NYG,8,52.8,71.8,90.7,19.6,56,5.45,0.343,1,28,126,9.5,99,4,7.38,,37.9,7
DL,6,Brian Burns,NYG,8,52.8,71.8,90.7,19.6,76,5.45,0.343,1,28,126,9.5,99,4,38.6,,37.9,7
DL,7,Aidan Hutchinson,DET,6,65.1,71.5,81.3,9.19,1,5.11,0.705,1,26,89.6,,101,5,2.15,,16.2,4
DL,8,Aidan Hutchinson,DET,6,65.1,71.5,81.3,9.19,1,5.11,0.705,1,26,89.6,,101,5,2.15,,16.2,4
