scoring,source,season,last_updated,ranking,player,position,position_rank,team,bye,tier,rank_best,rank_worst,rank_average,rank_stddev,adp_rank,player_id,fantasypros_url
ppr,FantasyPros ECR,2026,8/13,83,Sam LaPorta,TE,TE8,DET,6,7,57,97,82.95,9.63,70,22978,https://www.fantasypros.com/nfl/players/sam-laporta.php
ppr,FantasyPros ECR,2026,8/13,84,Jordyn Tyson,WR,WR37,NO,8,7,51,165,84.18,18.36,82,26035,https://www.fantasypros.com/nfl/players/jordyn-tyson.php
ppr,FantasyPros ECR,2026,8/13,85,Courtland Sutton,WR,WR38,DEN,10,7,51,116,84.70,15.72,74,17253,https://www.fantasypros.com/nfl/players/courtland-sutton.php
ppr,FantasyPros ECR,2026,8/13,86,Josh Downs,WR,WR39,IND,13,7,51,126,85.56,14.69,107,24706,https://www.fantasypros.com/nfl/players/josh-downs.php
ppr,FantasyPros ECR,2026,8/13,87,Chuba Hubbard,RB,RB30,CAR,5,7,67,118,85.71,10.44,85,19792,https://www.fantasypros.com/nfl/players/chuba-hubbard.php
ppr,FantasyPros ECR,2026,8/13,88,Wan'Dale Robinson,WR,WR40,TEN,9,7,48,132,86.76,13.62,91,22985,https://www.fantasypros.com/nfl/players/wandale-robinson.php
ppr,FantasyPros ECR,2026,8/13,89,Rico Dowdle,RB,RB31,PIT,9,7,68,127,87.90,10.97,80,19647,https://www.fantasypros.com/nfl/players/rico-dowdle.php
ppr,FantasyPros ECR,2026,8/13,90,Alec Pierce,WR,WR41,IND,13,7,51,128,89.07,18.94,84,23791,https://www.fantasypros.com/nfl/players/alec-pierce.php
ppr,FantasyPros ECR,2026,8/13,91,Michael Wilson,WR,WR42,ARI,14,7,49,136,89.46,15.30,88,25333,https://www.fantasypros.com/nfl/players/michael-wilson.php
ppr,FantasyPros ECR,2026,8/13,92,RJ Harvey,RB,RB32,DEN,10,7,50,130,92.21,18.03,81,27142,https://www.fantasypros.com/nfl/players/rj-harvey.php
ppr,FantasyPros ECR,2026,8/13,93,Jaxson Dart,QB,QB11,NYG,8,7,63,114,93.83,13.21,86,23160,https://www.fantasypros.com/nfl/players/jaxson-dart.php
ppr,FantasyPros ECR,2026,8/13,94,Brock Purdy,QB,QB12,SF,8,8,63,125,97.17,9.54,103,19797,https://www.fantasypros.com/nfl/players/brock-purdy.php
ppr,FantasyPros ECR,2026,8/13,95,Travis Kelce,TE,TE9,KC,5,8,66,138,99.82,13.96,99,11594,https://www.fantasypros.com/nfl/players/travis-kelce.php
ppr,FantasyPros ECR,2026,8/13,96,Makai Lemon,WR,WR43,PHI,10,8,71,136,100.82,15.81,98,25420,https://www.fantasypros.com/nfl/players/makai-lemon.php
